dagsetning;factor_level;logbodinn_fridagur;logbodinn_fridagur_eftir_hadegi
2025-05-01;1;1;0
2025-05-29;1;1;0
2025-06-08;1;1;0
2025-06-09;1;1;0
2025-06-17;1;1;0
2025-08-04;1;1;0
2025-12-24;0,5;0;1
2025-12-25;1;1;0
2025-12-26;1;1;0
2025-12-31;0,5;0;1
